gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
10,3;13;34;37;50;59;61;95;105;124,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,29,True
9,6;58;82;91;93;94;107;124;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,30,True
13,11;12;24;28;38;41;59;72;76;81;102;114;119,64,0,38.22468,3.268435456,41.493115456,0.0,20.0,61.493115456,3,31,True
11,10;48;50;54;74;83;85;90;92;102;118,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,3,32,True
10,2;13;14;26;38;53;56;63;67;115,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,33,True
11,0;5;8;28;29;36;42;75;81;84;92,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,3,34,True
8,15;17;28;31;32;36;62;120,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,35,True
9,11;18;28;33;47;57;62;109;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,36,True
9,13;27;34;72;91;97;110;122;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,37,True
8,2;12;29;49;91;109;110;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,38,True
8,5;14;16;48;50;63;84;118,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,39,True
11,4;19;46;48;49;50;53;91;98;115;122,64,0,32.264232,3.268435456,35.532667456,0.0,20.0,55.532667456,3,40,True
8,30;37;72;80;100;105;116;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,41,True
8,21;30;39;43;76;88;115;119,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,42,True
10,10;11;29;30;35;37;39;45;86;99,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,43,True
8,12;15;49;56;63;79;104;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,44,True
10,1;2;4;13;18;19;28;34;72;121,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,45,True
9,4;13;40;41;48;62;64;102;107,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,46,True
8,46;48;58;71;79;108;109;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,47,True
8,12;23;42;67;68;77;79;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,0,True
8,6;8;28;68;90;101;104;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,1,True
8,6;56;62;69;71;72;76;94,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,2,True
8,37;56;97;99;114;117;122;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,3,True
