gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,step,layer,selected
4,23;48;53;76,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,20,False
5,23;48;53;76;85,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,20,False
6,23;48;53;76;85;92,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,20,False
7,23;48;53;76;85;92;114,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,20,True
8,23;48;53;76;85;92;102;114,125,3,23.247432,3.524288,26.77172,4.670016,20.0,46.77172,True,0,20,False
9,23;48;53;76;85;92;102;113;114,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,20,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,21,False
1,2,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,21,False
2,2;6,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,21,False
3,2;6;11,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,21,False
4,2;6;11;26,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,21,False
5,2;6;11;26;38,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,21,False
6,2;6;11;26;38;63,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,21,False
7,2;6;11;13;26;38;63,111,17,20.337096,3.465567744,23.802663744,26.217672,20.0,46.217672,True,0,21,True
8,2;6;11;13;26;38;56;63,126,2,23.24868,3.528482304,26.777162304,3.112512,20.0,46.777162304,True,0,21,False
9,2;6;11;13;15;26;38;56;63,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,21,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,22,False
1,1,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,22,False
2,1;12,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,22,False
3,1;12;36,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,22,False
4,1;12;36;75,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,22,False
5,1;12;36;75;92,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,22,False
6,1;7;12;36;75;92,95,33,17.374656,3.39845888,20.77311488,50.843832,20.0,70.843832,True,0,22,False
7,1;7;12;36;48;75;92,106,22,20.304648,3.444596224,23.749244224,33.89412,20.0,53.89412,True,0,22,False
8,1;6;7;12;36;48;75;92,115,13,23.327304,3.48234496,26.80964896,20.060976,20.0,46.80964896,True,0,22,True
9,1;6;7;12;28;36;48;75;92,122,6,26.24388,3.511705088,29.755585088,9.268896,20.0,49.755585088,True,0,22,False
10,1;6;7;8;12;28;36;48;75;92,126,2,29.209128,3.528482304,32.737610304,3.112512,20.0,52.737610304,True,0,22,False
11,0;1;6;7;8;12;28;36;48;75;92,127,1,32.252064,3.532676608,35.784740608,1.591512,20.0,55.784740608,True,0,22,False
12,0;1;6;7;8;12;28;36;48;75;92;114,128,0,35.209512,3.536870912,38.746382912,0.0,20.0,58.746382912,True,0,22,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,23,False
1,14,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,23,False
2,14;31,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,23,False
3,14;31;36,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,23,False
4,14;31;36;48,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,23,False
5,14;31;36;48;65,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,23,False
6,14;31;36;48;65;81,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,23,False
7,14;31;36;48;65;81;104,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,23,True
8,14;31;36;48;65;81;104;121,123,5,23.189712,3.515899392,26.705611392,7.747896,20.0,46.705611392,True,0,23,False
9,14;31;36;48;52;65;81;104;121,126,2,26.263848,3.528482304,29.792330304,3.112512,20.0,49.792330304,True,0,23,False
10,14;31;32;36;48;52;65;81;104;121,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,True,0,23,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,24,False
1,11,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,24,False
2,11;18,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,24,False
3,11;18;20,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,24,False
4,11;18;20;28,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,24,False
5,11;18;20;28;47,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,24,False
6,11;18;20;28;47;57,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,24,False
7,11;18;20;28;47;57;91,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,24,True
8,11;18;20;28;47;57;91;108,127,1,23.276448,3.532676608,26.809124608,1.591512,20.0,46.809124608,True,0,24,False
9,11;18;20;28;47;57;59;91;108,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,24,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,25,False
1,13,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,25,False
2,13;34,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,25,False
3,13;34;72,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,25,False
4,13;34;72;74,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,25,False
5,13;34;72;74;108,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,25,False
6,13;34;72;74;108;110,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,25,False
