layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
44,0,1,1,0.555555556,0.230769231,0.40625,0.249350649,1.0,False
44,1,2,1,0.682926829,0.230769231,0.296875,0.341891442,1.0,False
44,2,3,1,0.590909091,0.454545455,0.296875,0.396581197,1.0,False
44,3,4,1,0.42,0.142857143,0.5625,0.19010989,1.0,False
44,4,5,1,0.444444444,0.066666667,0.546875,0.224908425,1.0,False
44,5,6,1,0.571428571,0.333333333,0.375,0.373659674,1.0,False
44,6,7,1,0.526315789,0.066666667,0.453125,0.238594739,1.0,False
45,0,1,1,0.619047619,0.230769231,0.328125,0.404784105,1.0,False
45,1,2,1,0.65,0.454545455,0.28125,0.493867244,0.875,False
45,2,3,1,0.536585366,0.454545455,0.328125,0.46026751,0.875,False
45,3,4,1,0.431818182,0.230769231,0.5625,0.245665446,1.0,False
45,4,5,1,0.396226415,0.230769231,0.5625,0.246053946,1.0,False
45,5,6,1,0.641509434,0.230769231,0.265625,0.523232323,1.0,False
45,6,7,1,0.529411765,0.066666667,0.453125,0.282051282,1.0,False
46,0,1,1,0.512195122,0.454545455,0.328125,0.321645022,1.0,False
46,1,2,1,0.625,0.333333333,0.296875,0.415895216,1.0,False
46,2,3,1,0.5,0.333333333,0.375,0.441219891,0.875,False
46,3,4,1,0.309090909,0.142857143,0.640625,0.194047619,0.875,False
46,4,5,1,0.344827586,0.142857143,0.59375,0.254761905,0.875,False
46,5,6,1,0.545454545,0.6,0.296875,0.468925519,0.875,False
46,6,7,1,0.456140351,0.0,0.53125,0.162728938,1.0,False
47,0,1,1,0.487179487,0.230769231,0.4375,0.298160173,1.0,False
47,1,2,1,0.564102564,0.333333333,0.359375,0.257042957,1.0,False
47,2,3,1,0.395348837,0.230769231,0.4375,0.28015873,1.0,False
47,3,4,1,0.348837209,0.0,0.765625,0.092532468,1.0,False
47,4,5,1,0.369565217,0.0,0.734375,0.125,1.0,False
47,5,6,1,0.41509434,0.230769231,0.515625,0.23975469,1.0,False
47,6,7,1,0.425925926,0.066666667,0.578125,0.088095238,1.0,False
