step,layer,active_experts,runtime_gpu_prefix,oracle_gpu_prefix,prefix_match,prefix_delta,prediction_extrapolated,runtime_predicted_objective_us,runtime_selected_actual_objective_us,oracle_objective_us,regret_us,regret_percent
4,22,44,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
4,23,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
4,24,38,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
4,25,33,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
4,26,34,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
4,27,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
4,28,33,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
4,29,32,11,11,True,0,False,55.40544876800001,55.369568768,55.369568768,0.0,0.0
4,30,38,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
4,31,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
4,32,34,11,11,True,0,False,55.431656000000004,55.451936,55.451936,0.0,0.0
4,33,36,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
4,34,34,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
4,35,33,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
4,36,34,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
4,37,27,10,10,True,0,False,52.433613376000004,52.419885376,52.419885376,0.0,0.0
4,38,33,11,11,True,0,False,55.431656000000004,55.451936,55.451936,0.0,0.0
4,39,33,11,11,True,0,False,55.40544876800001,55.369568768,55.369568768,0.0,0.0
4,40,31,10,10,True,0,False,53.89256,53.895368,53.895368,0.0,0.0
4,41,30,10,10,True,0,False,52.429419072,52.453131072,52.453131072,0.0,0.0
4,42,29,10,10,True,0,False,53.89256,53.895368,53.895368,0.0,0.0
4,43,30,11,11,True,0,False,55.409643072,55.382187072,55.382187072,0.0,0.0
4,44,35,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
4,45,33,11,11,True,0,False,55.40544876800001,55.369568768,55.369568768,0.0,0.0
4,46,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
4,47,29,9,9,True,0,False,50.814368,50.817176,50.817176,0.0,0.0
5,0,37,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
5,1,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
5,2,34,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,3,33,11,11,True,0,False,55.431656000000004,55.451936,55.451936,0.0,0.0
5,4,34,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
5,5,35,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
5,6,30,11,11,True,0,False,55.409643072,55.382187072,55.382187072,0.0,0.0
5,7,36,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,8,30,11,11,True,0,False,55.40544876800001,55.369568768,55.369568768,0.0,0.0
5,9,30,11,11,True,0,False,55.431656000000004,55.451936,55.451936,0.0,0.0
