gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
9,4;10;48;50;51;78;85;92;108,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,32,True
9,2;4;13;15;34;39;51;63;67,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,33,True
8,0;1;9;22;67;81;92;118,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,34,True
9,5;6;15;31;51;75;77;104;110,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,35,True
8,11;18;28;57;59;62;101;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,36,True
9,1;13;27;43;52;61;86;91;110,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,37,True
8,2;19;26;27;49;78;92;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,38,True
9,0;14;25;26;48;50;51;63;84,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,39,True
9,19;28;35;49;82;98;109;116;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,40,True
8,6;37;54;99;116;118;123;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,41,True
10,4;30;33;47;66;70;71;76;106;116,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,3,42,True
8,41;45;61;69;86;106;111;119,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,43,True
8,24;42;49;62;79;82;96;103,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,44,True
8,1;3;34;43;48;51;67;88,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,45,True
8,4;13;26;33;40;54;79;102,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,3,46,True
9,0;17;23;39;42;80;96;106;119,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,3,47,True
8,4;18;38;79;86;100;101;118,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,0,True
