variant,shape_key,shape,total_completion_us,baseline_total_completion_us,delta_total_completion_us,gpu_accepted_to_column_issue_mean_us,kv_accepted_to_column_issue_mean_us,gpu_injection_rejected_attempts,kv_injection_rejected_attempts
rb32-dual,987be3fda115241bbe194b830e0005589b32a70b6852bfd1ae7b3abd93502d71,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",108.363216,95.2926,13.070616000000001,0.06842915625,0.04700530224609375,14832384,42437248
rb32-dual,a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",49.286016,49.28508,0.0009359999999958291,0.042007333333333334,0.0,6114560,0
rb32-dual,a69e6d5251ebb1936b42ad0ed5eac084d5e705c93ce4529f6ca527bd16cca2ce,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",149.738472,104.280384,45.458088000000004,0.08930905208333333,0.05876150756835938,19671936,57234304
rb32-dual,a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",42.553992,41.860104,0.6938880000000012,0.0,0.04241568017578125,0,21969408
rb32-dual,c2804e40610e68d4510163daa20ec4d6ef40aa53468413b1aed624dbbe747444,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",65.840112,53.350752,12.489360000000005,0.06640731770833334,0.05216405200195313,13088384,22164480
rb32-dual,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",85.120776,84.240936,0.8798400000000015,0.0,0.04242642041015625,0,43970816
rb32-dual,cc5fa2d380d97dda182ca3a78f37d544a336823837d178ae929ee4c6cd5711c3,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",125.451456,103.918152,21.533303999999987,0.06850328720238096,0.05022768200683594,32307328,34623616
rb32-dual,cdcaff2fdb04a5fd6014e8c0bdd542bbe1943c614df1ba1d737f25dbeb4bf2a9,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",65.817648,43.688112,22.12953600000001,0.06677355208333333,0.07415398681640625,22999808,13001472
rb32-dual,cdf700c1a76b5dbd55ae7847ef3095b4b4175691e5eb606f84bace92efe889c5,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 8192, ""pim_mac_waves"": 3072, ""pim_read_waves"": 32}",108.545736,98.559552,9.986184000000009,0.06757819791666667,0.047198655029296877,17671424,39734272
rb32-dual,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",20.965152,20.298408,0.6667440000000013,0.042423004464285714,0.0,10824704,0
