case,policy,layer,batch_size,context_length,request_scale,capacity_state,layer_start_us,layer_end_us,layer_span_us,attention_latency_us,local_kv_latency_us,cxl_kv_latency_us,attention_critical_path_us,expert_critical_path_us,cxl_critical_path_us,gpu_request_completion_us,local_kv_request_completion_us,cxl_kv_request_completion_us,pim_request_completion_us,cxl_queue_wait_us_all_requests,cxl_link_busy_ratio
b8_c32k,gpu-only,45,8,32768,4096,spill,911.0661955200021,931.3121109760021,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,46,8,32768,4096,spill,931.3121109760021,951.5580264320022,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,gpu-only,47,8,32768,4096,spill,951.5580264320022,971.8039418880022,20.245915456000034,1.0163840000000022,0.094536,0.8424,1.0163840000000022,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,0,8,32768,4096,spill,0.0,509.79157945599997,509.79157945599997,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,1,8,32768,4096,spill,509.79157945599997,1019.5831589119999,509.79157945599997,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,2,8,32768,4096,spill,1019.5831589119999,1529.3747383679995,509.79157945599957,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,3,8,32768,4096,spill,1529.3747383679995,2039.1663178239992,509.7915794559997,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,4,8,32768,4096,spill,2039.1663178239992,2548.957897279999,509.7915794559999,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,5,8,32768,4096,spill,2548.957897279999,3058.7494767359985,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
b8_c32k,sieve,6,8,32768,4096,spill,3058.7494767359985,3568.541056191998,509.79157945599945,470.56204799999995,0.094536,0.8424,470.56204799999995,3.3180434560000003,0.0,0.049608,0.094536,0.8424,0.0,298.850136,0.7045370370370371
