gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,2;3;8;9;14;17;18;19;20;25;30;31;36;41;53;70,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,2,True
16,4;5;9;10;15;16;21;24;25;26;27;32;37;43;60;77,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,3,True
16,0;1;5;6;11;12;16;17;22;23;31;32;33;50;67;84,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,4,True
16,1;2;6;7;8;12;13;18;19;23;38;39;40;57;74;91,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,5,True
16,2;3;4;8;9;13;14;15;19;20;45;46;47;64;81;98,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,6,True
16,3;4;5;9;10;11;15;16;20;21;52;53;54;71;88;105,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,7,True
16,0;1;5;6;10;11;12;16;17;18;59;60;61;78;95;112,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,8,True
16,1;2;6;7;8;12;13;17;18;19;66;67;68;85;102;119,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,9,True
16,2;3;8;9;13;14;15;19;20;24;73;74;75;92;109;126,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,10,True
16,4;5;9;10;15;16;20;21;22;26;27;80;81;82;99;116,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,11,True
16,0;1;5;6;11;12;16;17;22;23;27;87;88;89;106;123,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,12,True
16,1;2;7;8;12;13;18;19;23;24;29;30;94;95;96;113,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,13,True
16,3;4;8;9;14;15;19;20;25;26;30;31;101;102;103;120,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,14,True
16,4;5;10;11;15;16;21;22;26;27;32;33;108;109;110;127,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,15,True
16,0;1;6;11;12;17;18;22;23;28;29;33;40;115;116;117,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,16,True
16,2;7;8;13;18;19;24;25;29;30;35;36;47;122;123;124,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,17,True
16,1;2;3;4;9;14;15;20;25;26;31;32;36;37;42;54,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,18,True
16,0;5;8;9;10;11;16;21;22;27;32;33;38;39;44;61,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,19,True
16,0;1;6;7;12;15;16;17;18;23;28;29;34;39;51;68,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,20,True
16,2;3;7;8;13;14;19;22;23;24;25;30;35;41;58;75,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,21,True
16,3;4;9;10;14;15;20;21;26;29;30;31;32;48;65;82,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,22,True
16,0;4;5;6;10;11;16;17;21;22;36;37;38;55;72;89,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,23,True
16,0;1;2;6;7;11;12;13;17;18;43;44;45;62;79;96,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,24,True
16,1;2;3;7;8;9;13;14;18;19;50;51;52;69;86;103,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,25,True
16,3;4;8;9;10;14;15;16;20;21;57;58;59;76;93;110,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,26,True
16,0;4;5;6;10;11;15;16;17;21;64;65;66;83;100;117,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,27,True
16,0;1;6;7;11;12;13;17;18;22;71;72;73;90;107;124,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,28,True
16,2;3;7;8;13;14;18;19;20;24;25;78;79;80;97;114,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,29,True
16,3;4;9;10;14;15;20;21;25;26;27;85;86;87;104;121,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,30,True
