gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,3;7;9;18;19;27;28;34;41;59;79;81;87;98;109;115,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,2,19,True
16,3;6;7;19;32;36;38;43;46;51;57;64;94;103;116;127,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,2,20,True
16,10;13;40;49;59;64;65;68;83;87;94;96;112;113;114;117,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,2,21,True
16,5;14;19;23;26;30;43;45;53;58;62;69;73;74;86;98,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,2,22,True
16,0;4;7;8;21;22;39;64;67;69;70;82;87;89;96;114,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,2,23,True
16,0;9;14;17;32;50;52;53;56;65;73;79;110;113;116;119,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,2,24,True
16,16;24;27;42;44;66;77;79;82;83;89;91;98;104;115;118,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,2,25,True
16,0;2;8;47;55;62;66;71;75;79;80;88;91;95;102;105,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,2,26,True
16,6;8;10;16;18;23;35;56;59;60;61;69;76;79;120;125,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,2,27,True
16,7;17;18;19;41;50;60;67;73;80;83;84;87;93;119;123,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,2,28,True
16,0;1;2;14;15;18;35;52;53;72;78;83;84;113;116;120,38,26,47.074872,3.159383552,50.234255552,40.052688,20.0,70.234255552,2,29,True
16,3;8;9;12;25;27;30;32;34;53;56;59;71;102;115;123,35,29,47.209032,3.14680064,50.35583264,44.688384,20.0,70.35583264,2,30,True
16,0;3;6;9;18;27;28;34;39;51;60;78;97;98;106;109,37,27,47.01216,3.155189248,50.167349248,41.609256,20.0,70.167349248,2,31,True
16,3;9;15;19;24;36;38;43;46;51;64;101;103;109;116;127,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,2,32,True
16,10;12;13;32;45;49;59;68;83;87;94;96;102;112;114;117,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,2,33,True
16,2;5;10;13;19;26;30;51;66;69;70;74;86;98;108;113,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,2,34,True
16,0;4;8;21;39;63;64;69;70;71;82;86;87;89;109;114,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,2,35,True
16,9;26;32;53;56;58;65;73;74;92;95;110;111;113;115;116,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,2,36,True
16,16;20;21;24;42;44;49;66;75;76;77;82;98;104;113;121,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,2,37,True
16,0;6;7;8;10;16;28;55;62;79;80;84;88;91;96;105,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,2,38,True
16,6;18;23;35;48;56;59;60;61;69;76;79;98;104;112;120,50,14,46.958496,3.2097152,50.1682112,21.583224,20.0,70.1682112,2,39,True
