step,layer,batch_size,context_min,context_max,total_assignments,active_experts,inactive_experts,max_expert_load,mean_active_expert_load,cv_all_experts,cv_active_experts,gini_all_experts,hot_expert_count,hot_experts,hot_assignment_share,load_signature
2,44,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"2,12,15,49,79,104,112,113",1.0,"8,8,8,8,8,8,8,8"
2,45,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"1,2,3,4,53,54,65,127",1.0,"8,8,8,8,8,8,8,8"
2,46,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"4,13,17,40,48,64,74,102",1.0,"8,8,8,8,8,8,8,8"
2,47,8,8194,8194,64,8,120,8,8,3.872983346,0.0,0.9375,8,"39,41,45,46,54,58,79,110",1.0,"8,8,8,8,8,8,8,8"
3,0,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"0,27,33,37,64,68,72,79",1.0,"8,8,8,8,8,8,8,8"
3,1,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"14,19,28,88,90,96,101,111",1.0,"8,8,8,8,8,8,8,8"
3,2,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"46,56,71,72,74,77,94,107",1.0,"8,8,8,8,8,8,8,8"
3,3,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"3,37,51,56,71,99,101,109",1.0,"8,8,8,8,8,8,8,8"
3,4,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"12,19,52,53,65,107,108,110",1.0,"8,8,8,8,8,8,8,8"
3,5,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"4,32,41,46,63,65,73,84",1.0,"8,8,8,8,8,8,8,8"
3,6,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"33,49,58,74,82,92,112,116",1.0,"8,8,8,8,8,8,8,8"
3,7,8,8195,8195,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"15,19,24,44,52,63,114,56",0.96875,"8,8,8,8,8,8,8,6,2"
3,8,8,8195,8195,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"22,23,50,53,68,76,100,123",0.96875,"8,8,8,8,8,8,8,6,2"
3,9,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"2,13,23,34,39,69,82,95",1.0,"8,8,8,8,8,8,8,8"
3,10,8,8195,8195,64,8,120,8,8,3.872983346,0.0,0.9375,8,"0,1,6,19,36,48,67,92",1.0,"8,8,8,8,8,8,8,8"
3,11,8,8195,8195,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"3,48,52,75,81,104,121,110",0.984375,"8,8,8,8,8,8,8,7,1"
3,12,8,8195,8195,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"11,37,41,78,92,111,122,18",0.984375,"8,8,8,8,8,8,8,7,1"
3,13,8,8195,8195,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"1,43,52,61,63,104,117,27",0.984375,"8,8,8,8,8,8,8,7,1"
