case,policy,request_scale,layer,layer_start_us,layer_end_us,layer_span_us,attention_critical_path_us,expert_critical_path_us,cxl_critical_path_us,cxl_queue_wait_us_all_requests,cxl_link_busy_ratio
b8_c32k,gpu-only,1,21,51917.36078457601,54389.61606003201,2472.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,22,54389.61606003201,56861.871335488,2472.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,23,56861.871335488,59334.126610944,2472.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,24,59334.126610944,61806.38188639999,2472.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,25,61806.38188639999,64278.637161855986,2472.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,26,64278.637161855986,66750.89243731198,2472.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,27,66750.89243731198,69223.14771276795,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,28,69223.14771276795,71695.40298822393,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,29,71695.40298822393,74167.6582636799,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,30,74167.6582636799,76639.91353913587,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,31,76639.91353913587,79112.16881459185,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,32,79112.16881459185,81584.42409004782,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,33,81584.42409004782,84056.67936550379,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,34,84056.67936550379,86528.93464095976,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,35,86528.93464095976,89001.18991641574,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,36,89001.18991641574,91473.44519187171,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,37,91473.44519187171,93945.70046732768,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,38,93945.70046732768,96417.95574278366,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,39,96417.95574278366,98890.21101823963,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,40,98890.21101823963,101362.4662936956,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,41,101362.4662936956,103834.72156915157,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,42,103834.72156915157,106306.97684460755,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,43,106306.97684460755,108779.23212006352,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,44,108779.23212006352,111251.48739551949,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,45,111251.48739551949,113723.74267097547,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,46,113723.74267097547,116195.99794643144,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,gpu-only,1,47,116195.99794643144,118668.25322188741,2472.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,0,0.0,2492.255275456,2492.255275456,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,1,2492.255275456,4984.5105509119985,2492.2552754559983,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,2,4984.5105509119985,7476.765826367998,2492.2552754559993,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,3,7476.765826367998,9969.021101823997,2492.2552754559993,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,4,9969.021101823997,12461.276377279995,2492.2552754559983,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,5,12461.276377279995,14953.531652735994,2492.2552754559983,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,6,14953.531652735994,17445.786928192003,2492.2552754560093,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,7,17445.786928192003,19938.042203648012,2492.2552754560093,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,8,19938.042203648012,22430.29747910402,2492.2552754560093,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,9,22430.29747910402,24922.55275456003,2492.2552754560093,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,10,24922.55275456003,27414.80803001604,2492.2552754560093,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,11,27414.80803001604,29907.06330547205,2492.2552754560093,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,12,29907.06330547205,32399.31858092806,2492.2552754560093,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,13,32399.31858092806,34891.57385638405,2492.255275455991,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,14,34891.57385638405,37383.829131840044,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,15,37383.829131840044,39876.08440729604,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,16,39876.08440729604,42368.339682752034,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,17,42368.339682752034,44860.59495820803,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,18,44860.59495820803,47352.85023366402,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,19,47352.85023366402,49845.10550912002,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,20,49845.10550912002,52337.36078457601,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,21,52337.36078457601,54829.61606003201,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,22,54829.61606003201,57321.871335488,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,23,57321.871335488,59814.126610944,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,24,59814.126610944,62306.38188639999,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,25,62306.38188639999,64798.637161855986,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,26,64798.637161855986,67290.89243731198,2492.2552754559947,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,27,67290.89243731198,69783.14771276795,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,28,69783.14771276795,72275.40298822393,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,29,72275.40298822393,74767.6582636799,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,30,74767.6582636799,77259.91353913587,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,31,77259.91353913587,79752.16881459185,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,32,79752.16881459185,82244.42409004782,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,33,82244.42409004782,84736.67936550379,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,34,84736.67936550379,87228.93464095976,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,35,87228.93464095976,89721.18991641574,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,36,89721.18991641574,92213.44519187171,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,37,92213.44519187171,94705.70046732768,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,38,94705.70046732768,97197.95574278366,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
b8_c32k,sieve,1,39,97197.95574278366,99690.21101823963,2492.255275455973,2429.786736,26.557051456,2429.786736,2487538.33536,0.9998977885604854
